"Id","Name"
"01tdM00000DUGPmQAP","High Capacity Toner Cartridge"
"01tdM00000DUGPnQAP","Copy Paper Letter"
"01tdM00000DUGPoQAP","Printer Paper Tray"
"01tdM00000DUGPpQAP","Security Console"
"01tdM00000DUGPqQAP","Interior Badge Reader"
"01tdM00000DUGPrQAP","Exterior Badge Reader"
"01tdM00000DUGPsQAP","Interior Keypad"
"01tdM00000DUGPtQAP","Exterior Keypad"
"01tdM00000DUGPuQAP","RFID Key Card Printer"
"01tdM00000DUGPvQAP","RFID Fob"
"01tdM00000DUGPwQAP","Electric Door Lock"
"01tdM00000DUGPxQAP","Door Sensor"
"01tdM00000DUGPyQAP","Window Sensor"
"01tdM00000DUGPzQAP","Optical Drive"
"01tdM00000DUGQ0QAP","NVMe Hard Drive 500GB"
"01tdM00000DUGQ1QAP","CPU 3.4GHz i7"
"01tdM00000DUGQ2QAP","CPU 3.8GHz i7"
"01tdM00000DUGQ3QAP","RAM 32GB"
"01tdM00000DUGQ4QAP","SD Card 64GB"
"01tdM00000DUGQ5QAP","SD Card 256GB"
"01tdM00000DUGQ6QAP","Digital Camera"
"01tdM00000DUGQ7QAP","Printer High Capacity Tray"
"01tdM00000DUGQ8QAP","Smartphone Screen Protector"
"01tdM00000DUGQ9QAP","Smartphone Heavy Duty Case"
"01tdM00000DUGQAQA5","Smartphone Car Charger"
"01tdM00000DUGQBQA5","Smartphone Fast Charger"
"01tdM00000DUGQCQA5","Smartphone Wireless Charger"
"01tdM00000DUGQDQA5","Desktop Computer"
"01tdM00000DUGQEQA5","Home Security Console"
"01tdM00000DUGQFQA5","Deterrent Window Decal"
"01tdM00000DUGQGQA5","Doorbell Camera"
"01tdM00000DUGQHQA5","Home Security Installation"
"01tdM00000DUGQIQA5","Home Security Monitoring"
"01tdM00000DUGQJQA5","Motion Sensor"
"01tdM00000DUGQKQA5","Offsite Video Storage 1GB"
"01tdM00000DUGQLQA5","Mobile Monitoring App"
"01tdM00000DUGQMQA5","Mobile Control Center App"
"01tdM00000DUGQNQA5","Warranty Extension"
"01tdM00000DUGQOQA5","Warranty"
"01tdM00000DUGQPQA5","Hard Drive 4TB"
"01tdM00000DUGQQQA5","Smartphone Activation"
"01tdM00000DUGQRQA5","USB-C Charge Cable 1m"
"01tdM00000DUGQSQA5","Firewall"
"01tdM00000DUGQTQA5","Loss and Damage Warranty"
"01tdM00000DUGQUQA5","Toner Recycling"
"01tdM00000DUGQVQA5","Printer Manual"
"01tdM00000DUGQWQA5","Shipping Insurance"
"01tdM00000DUGQXQA5","Password Manager License"
"01tdM00000DUGQYQA5","Pager Service"
"01tdM00000DUGQZQA5","Pager"
"01tdM00000DUGQaQAP","5G Antenna"
"01tdM00000DUGQbQAP","Satellite Receiver"
"01tdM00000DUKJZQA5","Samsung TV"
"01tdM00000DUKeXQAX","cricket bat"
